timestamp,price,volume,price_mean,price_std,z_score,anomaly,residual_z_score
2024-10-01 00:00:00,2597.3411516834435,17539259209.42195,2467.2118955082533,140.26205293132807,0.9277581031763534,1,0.31471127213524663
2024-10-02 00:00:00,2451.631522589772,26538568534.282005,2467.9322707231145,140.11987771496064,-0.11633430173627721,1,-0.2568624559588628
2024-10-03 00:00:00,2365.231040243019,20613586399.40693,2462.2764781698693,140.74633637926215,-0.6895059610315315,1,-0.812449811831137
2024-10-04 00:00:00,2348.0048369247393,18771995105.191242,2459.3050675421723,142.22833167925418,-0.7825461306009793,1,-0.7283942906325725
2024-10-05 00:00:00,2416.9184055552637,15230883994.399237,2458.258752465985,142.42734371234425,-0.2902556899061098,1,-0.3358842067430932
2024-10-06 00:00:00,2415.4038137445546,7362867897.959902,2459.8465445591164,141.6471584035998,-0.3137565999589611,1,-0.4918864217228423
2024-10-07 00:00:00,2438.030912544012,7641011283.520121,2466.988227364494,134.55830791319903,-0.21520272712675292,1,-0.23532399912591193
2024-10-08 00:00:00,2422.7506412955013,16943828822.371426,2471.9900059078377,129.79156615472507,-0.3793726054097997,1,-0.8846735848386917
2024-10-09 00:00:00,2441.4651696200294,13601054198.545612,2476.8254131592903,125.66089918844166,-0.2813941629228236,1,-0.7865099956418382
2024-10-10 00:00:00,2367.615096789395,14384326799.317202,2477.093724157882,125.41023644926392,-0.8729640455847316,1,-0.8709037250065828
2024-10-11 00:00:00,2381.7817088014776,14686776834.298496,2476.8373140804106,125.60327369953409,-0.7567924185345939,1,-0.5257108986097739
2024-10-12 00:00:00,2435.7137843692162,13097241431.234644,2479.928976102913,123.3150712854194,-0.3585546460201805,1,-0.13393968672565698
2024-10-13 00:00:00,2477.6130275578225,8538997411.470292,2483.7727357490207,121.30287064321546,-0.05077957478282252,1,-0.08818267275217807
2024-10-14 00:00:00,2466.8607267086663,7516544091.44527,2484.498552961877,121.12842583941446,-0.14561261017784555,1,-0.299416138206132
2024-10-15 00:00:00,2628.504376157751,21502937840.286705,2491.512605223202,123.22414241559157,1.1117283370698878,1,0.7199578312450134
2024-10-16 00:00:00,2602.0760435960988,21986428173.14599,2500.8270289514703,120.55134499840403,0.839882911683556,1,0.9322207340965084
2024-10-17 00:00:00,2611.700159182395,16135687550.25065,2511.3792063024143,115.68227848356086,0.8672110732521311,1,0.6966974597899359
2024-10-18 00:00:00,2603.1202923346113,14330391810.475258,2520.113468938243,112.22199547251446,0.7396662574646389,1,0.04560104472420342
2024-10-19 00:00:00,2643.156520987104,16301885114.203026,2529.486653234456,110.28352191593385,1.030705818764981,1,0.43024798622723526
2024-10-20 00:00:00,2649.979289580214,7337169826.464913,2535.6448034432196,111.72066292153242,1.0233960589483577,1,0.39684706181360474
2024-10-21 00:00:00,2742.9591411600395,12697856633.571321,2541.822712963746,117.92968916466647,1.7055622686789618,1,1.053952220158925
2024-10-22 00:00:00,2665.731938974013,17340865615.868176,2543.52712410443,119.37839084183068,1.023676177973422,1,0.6172528388677868
2024-10-23 00:00:00,2619.5653130506435,15418370745.51069,2544.7510450814093,119.98212023275791,0.6235451400933664,1,0.23807215702604706
2024-10-24 00:00:00,2524.1038563091197,19004341635.326817,2540.6214015516025,118.4281127908369,-0.13947317789024852,1,-0.25750918081284446
2024-10-25 00:00:00,2536.234041319884,16708110976.636312,2536.701058085332,116.48147110709355,-0.004009365275089135,1,-0.5915866351269742
2024-10-26 00:00:00,2422.09328922875,23734197478.807434,2531.4852890741745,118.03508684226983,-0.9267752731152289,1,-1.3331380172724354
2024-10-27 00:00:00,2479.3736032443317,13434262241.34632,2526.432747948688,116.86903315388977,-0.4026656457608412,1,-0.9803453797478376
2024-10-28 00:00:00,2505.502947138879,8656317174.654642,2520.009752145497,112.30986138013762,-0.12916768686514915,1,-0.9564386789768855
2024-10-29 00:00:00,2564.8138556782997,19560694034.693996,2516.1629239326912,108.54654196027205,0.4482034237757167,1,-0.8876730521452112
2024-10-30 00:00:00,2638.637351278122,22541317733.245987,2515.463795254906,107.65463810543795,1.1441546615258567,1,-0.5184100941560721
2024-10-31 00:00:00,2657.6141818494384,22790792400.863556,2517.472896260439,109.77686590825134,1.2766012622926022,1,-0.5763843832044213
2024-11-01 00:00:00,2514.750787241073,20097565241.562813,2519.5768717488154,109.07406063131502,-0.04424594151725332,1,-1.1650225761125128
2024-11-02 00:00:00,2513.8372870612066,20396109310.40712,2524.530413309422,105.12579497176151,-0.10171743529823168,1,-1.257991318604691
2024-11-03 00:00:00,2491.352150058657,8253307127.229915,2529.3086570805526,99.95621798691839,-0.37973132423700745,1,-1.2464053950967244
2024-11-04 00:00:00,2456.979687344711,14546539750.496363,2530.6440331402005,98.66217775505152,-0.7466320678464656,1,-1.5163685726829343
2024-11-05 00:00:00,2395.9472139132804,17316680977.698635,2529.9954798124913,99.5061669484894,-1.3471352581453842,1,-2.0793695139843162
2024-11-06 00:00:00,2422.368479855642,18024855703.904736,2529.4733987228788,100.04494731068732,-1.070567997148571,1,-1.85387532778749
2024-11-07 00:00:00,2720.6217450068793,42388106411.06861,2539.4024355132583,103.79873150115392,1.7458721014486236,1,-0.7547693554139497
2024-11-08 00:00:00,2894.9718733838376,36844374455.9351,2554.519325638719,120.69246030520921,2.820826975307128,1,0.10222699368809061
2024-11-09 00:00:00,2960.9593369382137,33688997426.40259,2574.297466977013,136.57869716263693,2.8310554866456714,1,0.6570764469733814
2024-11-10 00:00:00,3130.035524073996,30583711140.36284,2599.2392608194295,165.47508965549736,3.2077109875548717,1,1.7133249916179598
