timestamp,price,volume,price_mean,price_std,price_change,volume_change,rolling_mean_5,rolling_mean_20,rolling_std_5,rsi,anomaly_score,is_anomaly,price_change_pct,rolling_std,anomaly
10/9/2024 0:00,62185.230423727575,28626429276.55382,61778.71387220496,2526.753423949957,-0.001640134,-0.155036042,62295.87266299472,63169.60617596642,298.8652602540085,41.08184375326353,-0.485088946,FALSE,-0.164013424,1883.265489984938,1
10/10/2024 0:00,60597.15045618275,28530748117.898792,61896.981595706275,2376.3011503833804,-0.025537896,-0.003342406,61994.70065966477,63051.13723282029,829.4908391175618,39.7430937477321,-0.490925072,FALSE,-2.553789633,1992.8462716330105,1
10/11/2024 0:00,60195.18073772453,29481971885.649742,61982.68222751837,2260.4257046784346,-0.006633476,0.03334030232295948,61615.35029017087,62904.48504266911,1146.8984912211804,27.311605396583758,-0.510955184,FALSE,-0.663347559,1997.5491959007309,-1
10/12/2024 0:00,62392.34048293159,32008659336.482643,62149.70142878275,2087.2248500206483,0.03650059221153068,0.08570279697141836,61531.458441134644,62853.931949352715,1048.6345749453444,36.310983230366475,-0.501063428,FALSE,3.650059221153068,1760.8145799828953,-1
10/13/2024 0:00,63207.77062127557,17665963646.417107,62319.72874183142,1949.775604163491,0.013069394929447364,-0.448087986,61715.534544368405,62835.19050195409,1271.5844125408757,39.583123837655535,-0.480438023,FALSE,1.3069394929447364,1447.0546274139133,1
10/14/2024 0:00,62829.533686088886,16784552979.060463,62393.3589489358,1924.9490457071352,-0.005984026,-0.049893155,61844.39519684067,62810.315859033435,1360.6121970235313,39.2596548352237,-0.466992763,FALSE,-0.598402588,1049.9935504881066,1
10/15/2024 0:00,66049.99492708022,46553796134.14602,62594.91546647746,1981.7902666507703,0.05125712466817767,1.7736095320634466,62934.964091020156,62896.108467949394,2097.01032936712,60.02828331158077,-0.553527915,TRUE,5.125712466817767,1502.5056685896432,1
10/16/2024 0:00,66962.21994496793,51797932876.82809,62853.16272237579,2030.3279927555184,0.013811129264957867,0.11264681246553865,64288.37193246884,63086.624485497116,2070.242875218778,74.28895966349315,-0.454357767,FALSE,1.3811129264957867,1944.9223244317134,1
10/17/2024 0:00,67647.54414766871,40640495380.19594,63167.71008625521,2017.2880590081315,0.010234490482304848,-0.215403142,65339.41266541627,63212.463250868954,2197.116966147889,76.88428153946361,-0.447224152,FALSE,1.0234490482304848,2298.524481301812,1
10/18/2024 0:00,67328.10527002988,34512072357.92087,63401.412529274116,2080.7666005910755,-0.004722106,-0.150795972,66163.47959516713,63289.31840809956,1957.3490235195102,74.90471640997256,-0.435229006,FALSE,-0.472210605,2466.017459041229,1
